datetime,production_nuclear,production_thermal,production_renewable,production_heat_power,production_hydro,production_pumped_hydro,consumption_total
01.10.2020 05:00:00,8441,1055,361,3941,79,0,12056
01.10.2020 04:00:00,8445,1048,296,3823,80,0,11937
01.10.2020 03:00:00,8402,1061,234,4126,75,0,11782
01.10.2020 02:00:00,8423,1045,174,4113,79,0,12106
01.10.2020 01:00:00,8433,1060,103,4124,81,0,12537
01.10.2020 00:00:00,8422,1090,107,4122,608,0,13086
30.09.2020 23:00:00,8393,1267,151,4764,437,0,14222
30.09.2020 22:00:00,8410,1393,128,5314,426,472,15528
30.09.2020 21:00:00,8373,1390,161,5652,652,871,16468
30.09.2020 20:00:00,8383,1415,254,5578,924,875,16800
30.09.2020 19:00:00,8334,1415,244,5549,1604,401,17031
30.09.2020 18:00:00,8328,1413,317,5548,1166,0,16320
30.09.2020 17:00:00,8313,1395,886,5231,711,0,16101
30.09.2020 16:00:00,8297,1458,1096,5055,963,0,16148
30.09.2020 15:00:00,8280,1460,1429,4766,534,0,16051
30.09.2020 14:00:00,8306,1471,1281,4790,921,0,16135
30.09.2020 13:00:00,8280,1428,1289,4642,984,0,16010
30.09.2020 12:00:00,8312,1427,1310,4693,1002,0,16090
30.09.2020 11:00:00,8268,1463,1585,4571,1342,0,16609
30.09.2020 10:00:00,8266,1444,1366,4698,1114,0,16427
30.09.2020 09:00:00,8243,1438,1005,4605,1238,642,16699
30.09.2020 08:00:00,8241,1420,741,4491,718,321,15454
30.09.2020 07:00:00,8216,1274,573,4199,816,0,14260
30.09.2020 06:00:00,8200,1137,556,4013,240,0,12758
30.09.2020 05:00:00,8197,1091,511,3923,119,0,12148
30.09.2020 04:00:00,8217,1089,611,3839,116,0,12109
30.09.2020 03:00:00,8204,1088,588,3741,121,0,11880
30.09.2020 02:00:00,8185,1176,584,3768,63,0,12111
30.09.2020 01:00:00,8191,1298,493,4154,115,0,12690
30.09.2020 00:00:00,8209,1423,513,4508,116,0,13241
29.09.2020 23:00:00,8192,1319,651,4492,349,0,14215
29.09.2020 22:00:00,8189,1459,763,5118,478,151,15747
29.09.2020 21:00:00,8176,1536,605,5239,784,780,16573
29.09.2020 20:00:00,8184,1532,612,5460,885,873,16964
29.09.2020 19:00:00,8193,1517,655,5386,984,319,16719
29.09.2020 18:00:00,8221,1523,881,4835,1110,320,16116
29.09.2020 17:00:00,8143,1475,1336,4610,767,320,15976
29.09.2020 16:00:00,8104,1419,1876,4391,939,0,15838
29.09.2020 15:00:00,8053,1348,2129,4200,1419,0,15942
29.09.2020 14:00:00,8018,1379,2533,4232,807,0,15877
29.09.2020 13:00:00,8021,1340,2527,4164,1060,0,15818
29.09.2020 12:00:00,8018,1323,2308,4201,563,0,15867
29.09.2020 11:00:00,8016,1512,2065,4264,656,323,16017
29.09.2020 10:00:00,8041,1496,1738,4284,811,322,16111
29.09.2020 09:00:00,8033,1468,1245,4325,1059,324,15750
29.09.2020 08:00:00,8021,1451,886,4110,509,322,14848
29.09.2020 07:00:00,7997,1367,645,4080,646,242,14192
29.09.2020 06:00:00,7980,1271,583,3794,256,0,12597
29.09.2020 05:00:00,8005,1271,426,3758,259,0,11934
29.09.2020 04:00:00,8029,1274,310,3734,206,0,11757
29.09.2020 03:00:00,8007,1301,268,3698,304,0,11664
29.09.2020 02:00:00,8022,1307,189,3788,424,0,11905
29.09.2020 01:00:00,8034,1402,144,4482,118,0,12451
29.09.2020 00:00:00,8008,1384,218,4461,117,0,13014
28.09.2020 23:00:00,8007,1404,260,4630,381,279,14251
28.09.2020 22:00:00,8008,1427,263,5094,481,861,15498
28.09.2020 21:00:00,8000,1461,337,5104,1270,949,16409
28.09.2020 20:00:00,7994,1409,308,5109,2013,955,17067
28.09.2020 19:00:00,8009,1404,229,5118,2064,644,16574
28.09.2020 18:00:00,8004,1380,340,4910,1750,320,15818
28.09.2020 17:00:00,7973,1380,782,4211,1268,321,15479
28.09.2020 16:00:00,8003,1347,1377,3931,1529,0,15465
28.09.2020 15:00:00,8009,1176,1844,3917,1349,0,15172
28.09.2020 14:00:00,8041,1065,2271,3717,457,0,14728
28.09.2020 13:00:00,8028,1045,2443,3563,553,0,14562
28.09.2020 12:00:00,8023,1048,2367,3848,375,0,14623
28.09.2020 11:00:00,8043,1315,2109,3937,356,0,14933
28.09.2020 10:00:00,8033,1361,1880,4013,389,320,15199
28.09.2020 09:00:00,8060,1354,1126,4080,652,643,15117
28.09.2020 08:00:00,8064,1346,531,4024,653,643,14667
28.09.2020 07:00:00,8031,1311,164,4177,1234,309,14127
28.09.2020 06:00:00,8063,987,171,3854,255,0,12643
28.09.2020 05:00:00,8020,971,181,3717,120,0,11894
28.09.2020 04:00:00,8050,963,234,3698,111,0,11627
28.09.2020 03:00:00,8039,974,299,3745,117,0,11696
28.09.2020 02:00:00,8015,974,320,3681,117,0,11762
28.09.2020 01:00:00,8029,1071,242,3849,261,0,12259
28.09.2020 00:00:00,8020,1172,274,4482,118,0,13094
27.09.2020 23:00:00,8044,1138,219,4439,457,6,13567
27.09.2020 22:00:00,8064,1172,240,4619,780,416,14904
27.09.2020 21:00:00,8041,1214,277,4733,1115,880,15863
27.09.2020 20:00:00,8018,1147,352,4589,1539,951,16230
27.09.2020 19:00:00,8017,1049,561,4476,1519,482,15511
27.09.2020 18:00:00,8033,1067,801,4280,1295,0,14777
27.09.2020 17:00:00,8009,1074,1492,3703,723,0,14559
27.09.2020 16:00:00,8026,1052,1904,3551,492,0,14432
27.09.2020 15:00:00,8026,1073,2334,3707,677,0,14522
27.09.2020 14:00:00,7989,1146,2889,3665,88,0,14684
27.09.2020 13:00:00,8004,1256,2585,3854,503,0,14948
27.09.2020 12:00:00,7965,1243,2520,3820,501,0,15129
27.09.2020 11:00:00,7992,1168,2132,3938,497,321,15133
27.09.2020 10:00:00,8005,1085,1988,3871,793,0,15183
27.09.2020 09:00:00,7991,1043,1589,3862,803,0,14362
27.09.2020 08:00:00,7997,996,1177,3555,145,0,13168
27.09.2020 07:00:00,7995,1005,954,3527,102,0,12423
27.09.2020 06:00:00,7970,995,911,3459,117,0,12171
27.09.2020 05:00:00,7994,997,851,3671,262,0,11941
27.09.2020 04:00:00,7969,989,815,3755,118,0,11584
27.09.2020 03:00:00,7987,988,714,3846,119,0,11896
27.09.2020 02:00:00,7958,990,597,3933,133,0,12124
27.09.2020 01:00:00,7972,975,575,3924,116,0,12632
27.09.2020 00:00:00,7983,1106,526,4028,360,0,13345
26.09.2020 23:00:00,7976,1124,496,3905,649,571,14209
26.09.2020 22:00:00,7985,1288,516,4534,771,821,15236
26.09.2020 21:00:00,7954,1424,575,5180,729,813,16264
26.09.2020 20:00:00,7974,1458,612,5350,1060,830,16551
26.09.2020 19:00:00,7978,1428,724,5137,778,561,16249
26.09.2020 18:00:00,7967,1447,847,4549,999,627,15773
26.09.2020 17:00:00,7968,1478,1323,4150,1073,0,15435
26.09.2020 16:00:00,7957,1389,1965,4051,988,0,15208
26.09.2020 15:00:00,7977,1227,2357,3986,930,0,15116
26.09.2020 14:00:00,7966,1119,2918,3814,849,0,15001
26.09.2020 13:00:00,7989,1132,3188,3773,468,0,14946
26.09.2020 12:00:00,7983,1266,3155,4039,427,0,15281
26.09.2020 11:00:00,7983,1188,2900,3894,344,0,15312
26.09.2020 10:00:00,7995,1115,2309,3814,356,281,15232
26.09.2020 09:00:00,8004,1128,1263,3930,618,325,14668
26.09.2020 08:00:00,8002,1131,777,3790,286,325,13770
26.09.2020 07:00:00,7999,1254,526,3942,195,0,13096
26.09.2020 06:00:00,7981,1319,476,4016,119,0,12745
26.09.2020 05:00:00,7983,1350,365,3852,163,0,12337
26.09.2020 04:00:00,7995,1347,363,4228,115,0,12033
26.09.2020 03:00:00,8010,1360,371,4278,258,0,12266
26.09.2020 02:00:00,8008,1458,365,4459,116,0,12631
26.09.2020 01:00:00,7980,1482,413,4485,168,0,12861
26.09.2020 00:00:00,7961,1451,439,4436,122,0,13530
25.09.2020 23:00:00,7977,1452,465,4959,415,0,14621
25.09.2020 22:00:00,7982,1427,507,5196,447,796,15557
25.09.2020 21:00:00,7937,1474,554,5310,892,780,16466
25.09.2020 20:00:00,7974,1492,508,5425,1169,931,17047
25.09.2020 19:00:00,7970,1427,488,5428,971,800,16426
25.09.2020 18:00:00,7983,1444,847,5317,447,644,15910
25.09.2020 17:00:00,7957,1437,1306,4743,479,320,15760
25.09.2020 16:00:00,7983,1443,1933,4380,708,0,15495
25.09.2020 15:00:00,7946,1503,2481,4175,480,0,15536
25.09.2020 14:00:00,7999,1368,2739,4011,703,0,15291
25.09.2020 13:00:00,7985,1244,2983,3991,711,0,15086
25.09.2020 12:00:00,7981,1255,3115,3833,374,0,15047
25.09.2020 11:00:00,7975,1287,2793,4182,462,0,15378
25.09.2020 10:00:00,8018,1520,2197,4328,514,0,15526
25.09.2020 09:00:00,8016,1456,1269,4363,461,450,15358
25.09.2020 08:00:00,8009,1484,774,4257,644,643,15134
25.09.2020 07:00:00,8022,1477,446,4412,936,302,14525
25.09.2020 06:00:00,7994,1359,353,4296,292,0,13156
25.09.2020 05:00:00,8018,1142,237,3894,128,0,12397
25.09.2020 04:00:00,8010,1207,139,3814,118,0,12120
25.09.2020 03:00:00,7992,1137,83,3947,117,0,12148
25.09.2020 02:00:00,7998,1134,86,4165,120,0,12281
25.09.2020 01:00:00,8002,1174,83,4358,329,0,12819
25.09.2020 00:00:00,8005,1165,63,4615,542,0,13527
24.09.2020 23:00:00,7975,1249,82,4937,390,642,14513
24.09.2020 22:00:00,7985,1334,85,5449,662,793,15636
24.09.2020 21:00:00,7960,1363,160,5614,1452,943,16748
24.09.2020 20:00:00,7973,1378,214,5704,1707,936,17163
24.09.2020 19:00:00,7941,1355,289,5619,1383,248,16332
24.09.2020 18:00:00,7939,1398,537,5415,1045,0,15704
24.09.2020 17:00:00,7949,1368,1246,4990,727,0,15705
24.09.2020 16:00:00,7988,1240,1952,4479,598,0,15527
24.09.2020 15:00:00,7969,1162,2374,4218,538,0,15310
24.09.2020 14:00:00,7960,1172,2762,4365,417,0,15358
24.09.2020 13:00:00,8008,1196,2959,4301,391,0,15089
24.09.2020 12:00:00,7995,1169,2870,4407,371,0,15076
24.09.2020 11:00:00,7994,1104,2710,4242,329,0,15477
24.09.2020 10:00:00,8001,1364,2173,4481,334,0,15630
24.09.2020 09:00:00,8016,1388,1444,4589,563,98,15428
24.09.2020 08:00:00,8008,1382,815,4660,511,321,15324
24.09.2020 07:00:00,8019,1350,469,4794,589,0,14540
24.09.2020 06:00:00,7992,1077,366,4300,272,0,13218
24.09.2020 05:00:00,8009,1077,299,4171,271,0,12351
24.09.2020 04:00:00,7999,1083,290,4249,271,0,12239
24.09.2020 03:00:00,8008,1075,284,4084,268,0,12178
24.09.2020 02:00:00,7994,1074,318,4006,127,0,12431
24.09.2020 01:00:00,7974,1088,346,3979,123,0,12800
24.09.2020 00:00:00,7985,1094,368,4674,271,0,13686
23.09.2020 23:00:00,8006,1377,318,5000,161,641,14451
23.09.2020 22:00:00,7999,1382,155,5132,1214,781,15826
23.09.2020 21:00:00,8002,1393,133,5294,1728,946,16891
23.09.2020 20:00:00,7978,1402,151,5279,1795,933,17150
23.09.2020 19:00:00,7977,1260,293,5023,1634,795,16353
23.09.2020 18:00:00,7985,1160,735,4786,1283,626,15827
23.09.2020 17:00:00,7963,1146,1421,4511,495,278,15220
23.09.2020 16:00:00,7964,1169,2173,4257,935,0,15334
23.09.2020 15:00:00,8002,1185,2793,3935,525,0,15025
23.09.2020 14:00:00,7989,1196,3229,3822,340,0,14970
23.09.2020 13:00:00,8011,1211,3452,3647,65,0,14949
23.09.2020 12:00:00,8010,1211,3421,3803,142,0,14865
23.09.2020 11:00:00,8021,1406,3056,4040,488,0,15253
23.09.2020 10:00:00,8044,1447,2423,4137,461,0,15331
23.09.2020 09:00:00,7995,1373,1672,4245,458,0,15304
23.09.2020 08:00:00,8016,1492,1039,4484,446,0,14909
23.09.2020 07:00:00,8028,1460,655,4130,469,0,14054
23.09.2020 06:00:00,8017,1211,565,3989,123,0,12798
23.09.2020 05:00:00,8008,1132,426,3880,125,0,12220
23.09.2020 04:00:00,8023,1131,320,3798,127,0,11876
23.09.2020 03:00:00,8010,1106,240,3983,125,0,11894
23.09.2020 02:00:00,8029,1112,162,3962,128,0,12111
23.09.2020 01:00:00,7972,1106,107,3985,135,0,12436
23.09.2020 00:00:00,7995,1180,101,4191,417,0,13326
22.09.2020 23:00:00,7977,1193,107,4611,1212,0,14287
22.09.2020 22:00:00,7961,1224,130,4965,1686,235,15564
22.09.2020 21:00:00,7985,1460,149,5317,1439,948,16749
22.09.2020 20:00:00,7957,1456,106,5565,1573,1273,17277
22.09.2020 19:00:00,7955,1404,182,5535,748,1120,16419
22.09.2020 18:00:00,7974,1420,616,5102,872,761,15898
22.09.2020 17:00:00,7935,1451,1387,5004,492,0,15315
22.09.2020 16:00:00,7724,1406,2185,4578,642,0,15403
22.09.2020 15:00:00,7740,1442,2794,4211,471,0,14967
22.09.2020 14:00:00,7734,1229,3189,3967,507,0,15058
22.09.2020 13:00:00,7761,1226,3330,4078,226,0,14859
22.09.2020 12:00:00,7729,1216,3292,4092,477,0,15007
22.09.2020 11:00:00,7740,1428,2971,4393,516,0,15280
22.09.2020 10:00:00,7778,1412,2347,4236,375,0,15510
22.09.2020 09:00:00,7785,1457,1475,4535,351,561,15543
22.09.2020 08:00:00,7778,1473,712,4799,719,320,15175
22.09.2020 07:00:00,7762,1460,218,4757,720,108,14535
22.09.2020 06:00:00,7777,1277,149,4279,205,0,12997
22.09.2020 05:00:00,7773,1251,66,4301,126,0,12249
22.09.2020 04:00:00,7776,1255,50,4311,125,0,12043
22.09.2020 03:00:00,7748,1231,73,4344,275,0,12033
22.09.2020 02:00:00,7747,1152,49,4230,125,0,12177
22.09.2020 01:00:00,7749,1114,39,4153,271,0,12620
22.09.2020 00:00:00,7766,1163,26,4446,885,0,13253
21.09.2020 23:00:00,7767,1386,10,5496,247,0,14405
21.09.2020 22:00:00,7764,1396,12,5508,694,953,15554
21.09.2020 21:00:00,7721,1410,19,5497,973,1422,16510
21.09.2020 20:00:00,7734,1427,50,5462,1284,1428,16901
21.09.2020 19:00:00,7750,1400,307,5207,1242,806,16125
21.09.2020 18:00:00,7739,1437,737,5047,985,324,15612
21.09.2020 17:00:00,7740,1274,1569,4287,1204,0,15217
21.09.2020 16:00:00,7664,1160,2344,4206,995,0,15095
21.09.2020 15:00:00,7482,1195,2903,4154,585,0,14963
21.09.2020 14:00:00,7463,1214,3164,4080,725,0,14788
21.09.2020 13:00:00,7496,1205,3329,3867,457,0,14608
21.09.2020 12:00:00,7464,1198,3300,4153,449,0,14914
21.09.2020 11:00:00,7490,1186,3059,3904,406,0,15037
21.09.2020 10:00:00,7483,1488,2454,4244,398,0,15187
21.09.2020 09:00:00,7492,1475,1606,4509,400,324,15242
21.09.2020 08:00:00,7482,1434,998,4522,684,325,14589
21.09.2020 07:00:00,7490,1414,600,4317,777,323,14235
21.09.2020 06:00:00,7491,1251,549,4102,265,0,12821
21.09.2020 05:00:00,7467,1099,546,4057,271,0,12141
21.09.2020 04:00:00,7467,1097,638,3724,121,0,11640
21.09.2020 03:00:00,7492,1098,662,3812,123,0,11714
21.09.2020 02:00:00,7479,1091,685,3631,124,0,11835
21.09.2020 01:00:00,7484,1098,699,3535,127,0,12291
21.09.2020 00:00:00,7462,1138,727,3771,671,0,13015
20.09.2020 23:00:00,7472,1284,720,4326,686,0,14003
20.09.2020 22:00:00,7443,1306,599,4815,684,952,15218
20.09.2020 21:00:00,7462,1375,453,5053,929,1273,16168
20.09.2020 20:00:00,7481,1412,321,5199,1155,1271,16429
20.09.2020 19:00:00,7449,1404,364,5059,896,645,15436
20.09.2020 18:00:00,7453,1311,739,4744,1042,312,14958
20.09.2020 17:00:00,7443,1252,1509,4068,846,0,14542
20.09.2020 16:00:00,7443,1167,2270,3721,937,0,14198
20.09.2020 15:00:00,7444,1140,2811,3626,492,0,14100
20.09.2020 14:00:00,7444,1140,3105,3329,224,0,13858
20.09.2020 13:00:00,7439,1131,3124,3251,224,0,13629
20.09.2020 12:00:00,7439,1094,3034,3265,442,0,13727
20.09.2020 11:00:00,7468,1107,2729,3301,435,0,13758
20.09.2020 10:00:00,7459,1084,2133,3331,419,0,13848
20.09.2020 09:00:00,7478,1166,1311,3710,309,0,13634
20.09.2020 08:00:00,7471,1345,585,3730,108,0,12780
20.09.2020 07:00:00,7476,1341,172,3793,118,0,12398
20.09.2020 06:00:00,7492,1194,108,3760,121,0,12114
20.09.2020 05:00:00,7476,1200,62,3784,125,0,11768
20.09.2020 04:00:00,7465,1086,76,3570,139,0,11586
20.09.2020 03:00:00,7462,1087,56,3787,274,0,11725
20.09.2020 02:00:00,7505,1096,44,3791,133,0,11911
20.09.2020 01:00:00,7722,1270,18,3889,131,0,12526
20.09.2020 00:00:00,7772,1261,13,4196,303,149,13182
19.09.2020 23:00:00,7788,1307,6,4083,731,576,14038
19.09.2020 22:00:00,7792,1311,18,4211,845,877,14885
19.09.2020 21:00:00,7780,1307,26,4337,1470,1270,15973
19.09.2020 20:00:00,7754,1286,53,4173,1818,1273,16253
19.09.2020 19:00:00,7774,1205,182,3982,1728,958,15250
19.09.2020 18:00:00,7777,1140,654,3805,1262,642,14889
19.09.2020 17:00:00,7775,1086,1380,3365,715,322,14386
19.09.2020 16:00:00,7783,1098,2229,3171,645,0,14213
19.09.2020 15:00:00,7747,1110,2834,3267,407,0,13940
19.09.2020 14:00:00,7771,1138,3260,3066,62,0,14022
19.09.2020 13:00:00,7786,1148,3408,3222,173,0,14135
19.09.2020 12:00:00,7747,1136,3071,3364,159,0,14368
19.09.2020 11:00:00,7781,1154,2841,3183,443,0,14823
19.09.2020 10:00:00,7783,1354,2254,3312,462,0,14990
19.09.2020 09:00:00,7818,1355,1368,3474,408,320,14507
19.09.2020 08:00:00,7794,1355,619,3410,107,278,13499
19.09.2020 07:00:00,7765,1358,455,3505,126,0,12708
19.09.2020 06:00:00,7782,1240,430,3671,275,0,12388
19.09.2020 05:00:00,7784,1189,476,3569,277,0,11963
19.09.2020 04:00:00,7787,1147,386,3587,278,0,11913
19.09.2020 03:00:00,7799,1149,483,3387,123,0,11917
19.09.2020 02:00:00,7757,1164,308,3436,132,0,12116
19.09.2020 01:00:00,7765,1186,395,3752,241,0,12708
19.09.2020 00:00:00,7987,1177,487,3724,664,0,13422
18.09.2020 23:00:00,8256,1204,511,3640,840,478,14297
18.09.2020 22:00:00,8109,1241,626,4090,889,951,15369
18.09.2020 21:00:00,8072,1243,729,4255,1703,954,16525
18.09.2020 20:00:00,8007,1239,741,4265,1656,1276,16706
18.09.2020 19:00:00,7758,1240,789,4222,1898,647,16075
18.09.2020 18:00:00,7738,1230,1126,4194,1266,648,15970
18.09.2020 17:00:00,7754,1211,1794,4256,423,639,15299
18.09.2020 16:00:00,7774,1235,2355,4127,401,310,15375
18.09.2020 15:00:00,7758,1254,2928,4068,706,0,15075
18.09.2020 14:00:00,7764,1266,3367,4138,537,0,15332
18.09.2020 13:00:00,7769,1272,3525,4106,70,0,14995
18.09.2020 12:00:00,7764,1267,3386,4130,70,0,15194
18.09.2020 11:00:00,7775,1213,3130,4257,502,0,15149
18.09.2020 10:00:00,7774,1283,2673,4335,442,0,15193
18.09.2020 09:00:00,7784,1403,2041,4581,81,0,15072
18.09.2020 08:00:00,7764,1433,1164,4485,330,0,14774
18.09.2020 07:00:00,7752,1459,775,4704,330,0,14229
18.09.2020 06:00:00,7761,1437,529,4377,129,0,12986
18.09.2020 05:00:00,7764,1316,206,4443,271,0,12182
18.09.2020 04:00:00,7764,1313,109,4393,127,0,11854
18.09.2020 03:00:00,7772,1314,75,4421,276,0,12001
18.09.2020 02:00:00,7744,1324,42,4555,269,0,12102
18.09.2020 01:00:00,7765,1332,35,4455,143,0,12260
18.09.2020 00:00:00,7751,1262,35,4621,350,0,13084
17.09.2020 23:00:00,7730,1487,60,5284,373,0,14184
17.09.2020 22:00:00,7741,1471,108,5504,404,607,15379
17.09.2020 21:00:00,7737,1481,167,5775,824,935,16496
17.09.2020 20:00:00,7599,1498,166,5743,1250,952,16734
17.09.2020 19:00:00,7706,1495,228,5590,910,646,16128
17.09.2020 18:00:00,7697,1512,564,5263,1083,481,16056
17.09.2020 17:00:00,7711,1486,1554,4494,1413,0,16000
17.09.2020 16:00:00,7683,1428,2301,4232,859,0,16111
17.09.2020 15:00:00,7676,1309,2969,4070,1210,0,15924
17.09.2020 14:00:00,7677,1255,3411,3974,1085,0,15861
17.09.2020 13:00:00,7674,1256,3629,3792,269,0,15304
17.09.2020 12:00:00,7664,1254,3563,4149,381,0,15549
17.09.2020 11:00:00,7694,1239,3204,3917,299,0,15174
17.09.2020 10:00:00,7686,1419,2611,4192,299,0,15593
17.09.2020 09:00:00,7652,1496,1623,4547,373,163,15219
17.09.2020 08:00:00,7700,1486,962,4466,533,323,14871
17.09.2020 07:00:00,7659,1459,605,4403,663,319,14286
17.09.2020 06:00:00,7669,1324,560,4263,167,0,13027
17.09.2020 05:00:00,7662,1239,517,4046,138,0,12155
17.09.2020 04:00:00,7666,1300,527,3765,102,0,11852
17.09.2020 03:00:00,7673,1312,389,3907,340,0,11981
17.09.2020 02:00:00,7657,1295,270,3922,103,0,12223
17.09.2020 01:00:00,7666,1323,140,4031,439,0,12610
17.09.2020 00:00:00,7657,1320,97,4544,128,324,13366
16.09.2020 23:00:00,7657,1331,75,5170,238,644,14453
16.09.2020 22:00:00,7661,1362,75,5443,876,781,15687
16.09.2020 21:00:00,7642,1372,73,5550,1654,1085,16826
16.09.2020 20:00:00,7659,1363,67,5505,2131,803,17015
16.09.2020 19:00:00,7648,1365,194,5480,1354,802,16212
16.09.2020 18:00:00,7631,1366,615,5084,1272,603,15904
16.09.2020 17:00:00,7642,1304,1493,4579,1087,321,15887
16.09.2020 16:00:00,7650,1224,2271,4400,1139,0,15888
16.09.2020 15:00:00,7676,1261,2819,4211,727,0,15385
16.09.2020 14:00:00,7632,1257,3176,4204,732,0,15358
16.09.2020 13:00:00,7665,1242,3353,4104,465,0,15240
16.09.2020 12:00:00,7663,1147,3276,4075,463,0,15048
16.09.2020 11:00:00,7711,1141,2978,4041,485,0,15302
16.09.2020 10:00:00,7692,1307,2430,4222,490,0,15610
16.09.2020 09:00:00,7698,1444,1511,4737,497,0,15340
16.09.2020 08:00:00,7705,1443,855,4738,703,0,14874
16.09.2020 07:00:00,7679,1442,454,4746,762,0,14459
16.09.2020 06:00:00,7716,1235,269,4210,275,0,13131
16.09.2020 05:00:00,7688,1227,244,4071,385,0,12329
16.09.2020 04:00:00,7713,1122,361,3985,214,0,11948
16.09.2020 03:00:00,7691,1173,406,3900,292,0,12064
16.09.2020 02:00:00,7698,1123,393,3730,124,0,12145
16.09.2020 01:00:00,7685,1135,433,3947,262,0,12681
16.09.2020 00:00:00,7680,1134,300,4341,136,0,13283
15.09.2020 23:00:00,7668,1181,269,4748,617,644,14431
15.09.2020 22:00:00,7689,1216,238,5313,850,934,15810
15.09.2020 21:00:00,7696,1494,222,5832,1115,1118,17057
15.09.2020 20:00:00,7688,1502,266,5917,1573,798,17153
15.09.2020 19:00:00,7676,1504,323,5714,1193,324,16103
15.09.2020 18:00:00,7666,1506,693,5615,1195,0,15890
15.09.2020 17:00:00,7674,1475,1573,5078,817,0,15691
15.09.2020 16:00:00,7669,1390,2409,4171,556,0,15384
15.09.2020 15:00:00,7649,1255,3051,4060,1001,0,15483
15.09.2020 14:00:00,7665,1267,3390,3909,567,0,15303
15.09.2020 13:00:00,7682,1276,3542,4015,293,0,15216
